Tm,W,L,W-L%,GB
New York Yankees,95,65,.594,--
Boston Red Sox,82,79,.509,13.5
Toronto Blue Jays,80,82,.494,16.0
Baltimore Orioles,63,98,.391,32.5
Tampa Bay Devil Rays,62,100,.383,34.0
Cleveland Indians,91,71,.562,--
Minnesota Twins,85,77,.525,6.0
Chicago White Sox,83,79,.512,8.0
Detroit Tigers,66,96,.407,25.0
Kansas City Royals,65,97,.401,26.0
Seattle Mariners,116,46,.716,--
Oakland Athletics,102,60,.630,14.0
Anaheim Angels,75,87,.463,41.0
Texas Rangers,73,89,.451,43.0
Atlanta Braves,88,74,.543,--
Philadelphia Phillies,86,76,.531,2.0
New York Mets,82,80,.506,6.0
Florida Marlins,76,86,.469,12.0
Montreal Expos,68,94,.420,20.0
Houston Astros,93,69,.574,--
St. Louis Cardinals,93,69,.574,--
Chicago Cubs,88,74,.543,5.0
Milwaukee Brewers,68,94,.420,25.0
Cincinnati Reds,66,96,.407,27.0
Pittsburgh Pirates,62,100,.383,31.0
Arizona Diamondbacks,92,70,.568,--
San Francisco Giants,90,72,.556,2.0
Los Angeles Dodgers,86,76,.531,6.0
San Diego Padres,79,83,.488,13.0
Colorado Rockies,73,89,.451,19.0
